cod_item;descricao;unidade;unitario_lpu;fonte;data_referencia;composicao;fornecedor;observacoes
DEM001;Demolição de piso cerâmico com retirada;m²;20.74;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 93358;;
DEM002;Demolição de forro de gesso;m²;18.25;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 93361;;
DEM003;Retirada de divisórias de gesso acartonado;m²;32.8;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 93359;;
DEM004;Retirada de vidros temperados com transporte;m²;38.4;Pesquisa de Mercado;2025-11;;;Inclui transporte e descarte
DEM005;Remoção de luminárias e redistribuição;un;65.0;Pesquisa de Mercado;2025-11;;;
EST001;Alvenaria de vedação em tijolo cerâmico 9cm;m²;98.5;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 87447;;
EST002;Verga/contraverga em concreto armado;m;72.3;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 92769;;
EST003;Reforço estrutural em pilar metálico;un;2250.0;Fornecedor Especializado;2025-11;;Estrutural Metálica Ltda;
REV001;Revestimento cerâmico parede 30x60cm padrão Itaú;m²;92.4;Contrato Itaú Unibanco;2025-11;;Portobello;
REV002;Mármore Branco Paraná - bancada caixas;m²;385.0;Fornecedor Especializado;2025-11;;Marmor Pedras;
REV003;Granito Cinza Corumbá - soleira;m;128.5;Fornecedor Especializado;2025-11;;Marmor Pedras;
REV004;Pastilha de vidro - área molhada;m²;185.0;Pesquisa de Mercado;2025-11;;;
REV005;Rodapé em porcelanato 10cm;m;32.8;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 94259;;
FOR001;Forro modular em fibra mineral 625x625mm;m²;75.5;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 94143;;
FOR002;Forro de gesso acartonado ST c/ isolamento;m²;98.8;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 94137;;
FOR003;Sanca de gesso rebaixada para iluminação;m;112.0;Pesquisa de Mercado;2025-11;;;
FOR004;Divisória em gesso acartonado RU 48mm;m²;142.3;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 94122;;
PIS001;Piso porcelanato polido 60x60cm classe A;m²;108.5;Contrato Itaú Unibanco;2025-11;;Portobello/Eliane;
PIS002;Piso vinílico em manta tipo Tarkett;m²;142.0;Fornecedor Especializado;2025-11;;Tarkett;
PIS003;Carpete em placas padrão Itaú;m²;95.8;Contrato Itaú Unibanco;2025-11;;Interface/Beaulieu;
PIS004;Rodapé vinílico h=7cm;m;48.54;Pesquisa de Mercado;2025-11;;;
PIS005;Soleira em granito cinza 15cm;m;95.0;Fornecedor Especializado;2025-11;;;
PIN001;Pintura acrílica parede interna 2 demãos;m²;28.5;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 88485;;
PIN002;Pintura laranja Itaú (especificação padrão);m²;42.3;Contrato Itaú Unibanco;2025-11;;;Tinta Suvinil Premium
PIN003;Pintura epóxi parede área molhada;m²;52.8;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 88489;;
PIN004;Textura acrílica fachada;m²;68.5;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 88491;;
FAC001;ACM Dibond Platinum laranja Itaú 4mm;m²;302.95;Contrato Itaú Unibanco;2025-11;;3A Composites;Cor Pantone 1585C
FAC002;Caixilho de alumínio anodizado natural c/ vidro;m²;542.0;Fornecedor Especializado;2025-11;;Alcoa/Hydro;
FAC003;Vidro temperado incolor 10mm;m²;215.0;Fornecedor Especializado;2025-11;;Guardian/Saint-Gobain;
FAC004;Portal de entrada ACM padrão 2024;un;6850.0;Contrato Itaú Unibanco;2025-11;;Fabricante homologado Itaú;
FAC005;Letreiro luminoso LED fachada - logo Itaú;un;9500.0;Contrato Itaú Unibanco;2025-11;;Visual Comunicação;
FAC006;Instalação de logo institucional ACM;un;546.16;Pesquisa de Mercado;2025-11;;;Inclui estrutura de fixação
FAC007;Toldo retrátil em lona laranja;m²;285.0;Fornecedor Especializado;2025-11;;;
HID001;Bacia sanitária suspensa Deca c/ caixa acoplada;un;685.0;Fornecedor Especializado;2025-11;;Deca;
HID002;Assento sanitário Deca branco;un;212.16;Fornecedor Especializado;2025-11;;Deca;
HID003;Lavatório suspenso Deca Ravena;un;298.0;Fornecedor Especializado;2025-11;;Deca;
HID004;Torneira de mesa monocomando Deca;un;328.0;Fornecedor Especializado;2025-11;;Deca;
HID005;Válvula de escoamento angular 3/4 x 2.1/2;un;387.61;Fornecedor Especializado;2025-11;;Deca/Docol;
HID006;Ligação flexível 1/2 x 30cm cromada;un;112.22;Pesquisa de Mercado;2025-11;;;
HID007;Caixa de descarga embutir 6L Deca;un;298.0;Fornecedor Especializado;2025-11;;Deca;
HID008;Registro de gaveta 3/4 Deca;un;112.5;Fornecedor Especializado;2025-11;;Deca;
HID009;Bebedouro industrial refrigerado IBBL;un;2280.0;Fornecedor Especializado;2025-11;;IBBL;
HID010;Purificador de água Soft Everest;un;1285.0;Fornecedor Especializado;2025-11;;Soft;
ELE001;Luminária LED 32W embutir quadrada;un;218.0;Fornecedor Especializado;2025-11;;Lumicenter/Stella;
ELE002;Luminária LED 18W sobrepor redonda;un;148.0;Fornecedor Especializado;2025-11;;Lumicenter/Stella;
ELE003;Spot LED direcionável 7W;un;95.0;Fornecedor Especializado;2025-11;;Lumicenter/Stella;
ELE004;Tomada padrão brasileiro 2P+T 10A;un;32.5;Fornecedor Especializado;2025-11;;Pial Legrand/Tramontina;
ELE005;Interruptor simples Pial Legrand;un;28.5;Fornecedor Especializado;2025-11;;Pial Legrand;
ELE006;Quadro de distribuição 24 disjuntores;un;1420.0;Fornecedor Especializado;2025-11;;Schneider/ABB;
ELE007;Disjuntor tripolar 70A;un;218.0;Fornecedor Especializado;2025-11;;Schneider/ABB;
ELE008;Cabo flexível 6mm² (rolo 100m);rolo;385.0;Fornecedor Especializado;2025-11;;Prysmian/Nexans;
ELE009;Eletroduto PVC rígido 1 (barra 3m);barra;22.5;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 74254/2;;
ELE010;Nobreak 3000VA senoidal;un;2980.0;Fornecedor Especializado;2025-11;;APC/SMS;
HVAC001;Ar condicionado split 24000 BTU inverter;un;2985.0;Fornecedor Especializado;2025-11;;LG/Samsung/Carrier;
HVAC002;Ar condicionado cassete 4 vias 48000 BTU;un;6850.0;Fornecedor Especializado;2025-11;;LG/Samsung/Carrier;
HVAC003;Tubulação de cobre 3/8 + 5/8 (kit 5m);kit;298.0;Fornecedor Especializado;2025-11;;Eluma/Termomecânica;
HVAC004;Dreno para condensado ar condicionado;un;95.0;Pesquisa de Mercado;2025-11;;;
HVAC005;Instalação e mão de obra ar condicionado;un;650.0;Pesquisa de Mercado;2025-11;;;
SEG001;Câmera IP 4MP dome infravermelha;un;785.0;Fornecedor Especializado;2025-11;;Intelbras/Hikvision;
SEG002;DVR 16 canais com HD 2TB;un;2280.0;Fornecedor Especializado;2025-11;;Intelbras/Hikvision;
SEG003;Sensor de presença infravermelho;un;218.0;Fornecedor Especializado;2025-11;;Intelbras/JFL;
SEG004;Central de alarme monitorada 12 zonas;un;1485.0;Fornecedor Especializado;2025-11;;Intelbras/JFL;
SEG005;Porta corta-fogo 90min 0,90x2,10m;un;3850.0;Fornecedor Especializado;2025-11;;Portas Especiais;
SEG006;Extintor PQS 6kg c/ suporte;un;142.0;Pesquisa de Mercado;2025-11;;;
SEG007;Iluminação de emergência LED;un;185.0;Fornecedor Especializado;2025-11;;Legrand/Schneider;
SEG008;Controle de acesso biométrico;un;2280.0;Fornecedor Especializado;2025-11;;Control iD/Intelbras;
MOB001;Balcão de atendimento MDF padrão Itaú;m;1485.0;Contrato Itaú Unibanco;2025-11;;Marcenaria homologada;
MOB002;Guichê de caixa blindado padrão bancário;un;6850.0;Contrato Itaú Unibanco;2025-11;;Fabricante especializado;
MOB003;Mesa gerente L 1,40m com gaveteiro;un;1950.0;Fornecedor Especializado;2025-11;;Corporativa Móveis;
MOB004;Cadeira executiva presidente giratória;un;985.0;Fornecedor Especializado;2025-11;;Cavaletti/Flexform;
MOB005;Cadeira interlocutor fixa;un;385.0;Fornecedor Especializado;2025-11;;Cavaletti/Flexform;
MOB006;Armário alto 2 portas 0,80x1,80m;un;1150.0;Fornecedor Especializado;2025-11;;Corporativa Móveis;
MOB007;Estação de trabalho lineares 4 posições;un;4680.0;Fornecedor Especializado;2025-11;;Corporativa Móveis;
MOB008;Cofre eletrônico 500kg padrão bancário;un;12500.0;Contrato Itaú Unibanco;2025-11;;Fichet/Chubb;
LMP001;Limpeza fina pós-obra;m²;14.2;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 6122;;
LMP002;Polimento de porcelanato;m²;21.5;Pesquisa de Mercado;2025-11;;;
LMP003;Lavagem de vidros e fachada;m²;17.8;SINAPI - Caixa Econômica Federal;2025-11;SINAPI 6129;;
